"first_file"	"compound"	"ic50"	"clow"	"cup"	"maxsd"	"cv"
"A549_1.txt"	"17AAG"	0.0995	0.0591	0.1677	0.2257	0.1628
"A549_1.txt"	"Gefitinib"	NA	NA	NA	0.2659	NA
"A549_1.txt"	"Purvalanol"	14.8252	12.0813	18.1922	0.1768	0.0547
"A549_1.txt"	"Rapamycin"	NA	NA	NA	0.1952	NA
"A549_1.txt"	"SU11274"	NA	NA	NA	0.1497	NA
"A549_1.txt"	"UO126"	50.1187	31.9136	78.709	0.1171	0.0831
"A549_1.txt"	"VX680"	13.5831	11.4889	16.0592	0.0805	0.0462
"Calu1_1.txt"	"17AAG"	0.0902	0.0808	0.1006	0.0827	0.0328
"Calu1_1.txt"	"Gefitinib"	NA	NA	NA	0.0815	NA
"Calu1_1.txt"	"Purvalanol"	15.3109	8.2861	28.291	0.1672	0.1621
"Calu1_1.txt"	"Rapamycin"	NA	NA	NA	0.075	NA
"Calu1_1.txt"	"SU11274"	NA	NA	NA	0.092	NA
"Calu1_1.txt"	"UO126"	9.3111	7.504	11.5533	0.0607	0.0697
"Calu1_1.txt"	"VX680"	4.3152	4.131	4.5076	0.0607	0.0215
"H322_1.txt"	"17AAG"	0.0173	0.0143	0.0208	0.1214	0.0331
"H322_1.txt"	"Gefitinib"	2.5823	1.0823	6.1609	0.1004	0.6603
"H322_1.txt"	"Purvalanol"	7.7446	5.7565	10.4195	0.1176	0.1044
"H322_1.txt"	"Rapamycin"	NA	NA	NA	0.0764	NA
"H322_1.txt"	"SU11274"	28.9068	24.2959	34.3928	0.0746	0.0281
"H322_1.txt"	"UO126"	22.2331	15.006	32.9408	0.1672	0.0913
"H322_1.txt"	"VX680"	8.0168	7.5491	8.5135	0.124	0.0208
"HCC2429_1.txt"	"17AAG"	1.5311	1.3346	1.7565	0.1416	0.2322
"HCC2429_1.txt"	"Gefitinib"	NA	NA	NA	0.2002	NA
"HCC2429_1.txt"	"Purvalanol"	6.223	5.3721	7.2086	0.1771	0.0579
"HCC2429_1.txt"	"Rapamycin"	2e-04	2e-04	2e-04	0.1077	0.0071
"HCC2429_1.txt"	"SU11274"	15.7398	13.6437	18.1579	0.1094	0.0374
"HCC2429_1.txt"	"UO126"	19.9986	11.8861	33.6481	0.1604	0.0945
"HCC2429_1.txt"	"VX680"	0.0351	0.0332	0.0371	0.1986	0.0121
