"17AAG"	"2,3"	"2,5"	"2,7"	"2,9"	"2,11"	"2,13"	"2,15"	"2,17"	"2,19"	"2,21"	"2,23"
"Purvalanol"	"3,3"	"3,5"	"3,7"	"3,9"	"3,11"	"3,13"	"3,15"	"3,17"	"3,19"	"3,21"	"3,23"
"SU11274"	"4,3"	"4,5"	"4,7"	"4,9"	"4,11"	"4,13"	"4,15"	"4,17"	"4,19"	"4,21"	"4,23"
"Gefitinib"	"5,3"	"5,5"	"5,7"	"5,9"	"5,11"	"5,13"	"5,15"	"5,17"	"5,19"	"5,21"	"5,23"
"Rapamycin"	"6,3"	"6,5"	"6,7"	"6,9"	"6,11"	"6,13"	"6,15"	"6,17"	"6,19"	"6,21"	"6,23"
"VX680"	"7,3"	"7,5"	"7,7"	"7,9"	"7,11"	"7,13"	"7,15"	"7,17"	"7,19"	"7,21"	"7,23"
"UO126"	"8,3"	"8,5"	"8,7"	"8,9"	"8,11"	"8,13"	"8,15"	"8,17"	"8,19"	"8,21"	"8,23"
"17AAG"	"9,3"	"9,5"	"9,7"	"9,9"	"9,11"	"9,13"	"9,15"	"9,17"	"9,19"	"9,21"	"9,23"
"Purvalanol"	"10,3"	"10,5"	"10,7"	"10,9"	"10,11"	"10,13"	"10,15"	"10,17"	"10,19"	"10,21"	"10,23"
"SU11274"	"11,3"	"11,5"	"11,7"	"11,9"	"11,11"	"11,13"	"11,15"	"11,17"	"11,19"	"11,21"	"11,23"
"Gefitinib"	"12,3"	"12,5"	"12,7"	"12,9"	"12,11"	"12,13"	"12,15"	"12,17"	"12,19"	"12,21"	"12,23"
"Rapamycin"	"13,3"	"13,5"	"13,7"	"13,9"	"13,11"	"13,13"	"13,15"	"13,17"	"13,19"	"13,21"	"13,23"
"VX680"	"14,3"	"14,5"	"14,7"	"14,9"	"14,11"	"14,13"	"14,15"	"14,17"	"14,19"	"14,21"	"14,23"
"UO126"	"15,3"	"15,5"	"15,7"	"15,9"	"15,11"	"15,13"	"15,15"	"15,17"	"15,19"	"15,21"	"15,23"
